Cidade;País;Latitude;Longitude;Ano;População
Nippur;Iraq;32.12693858;45.23078534;-2250;30000
Adab;Iraq;31.94700807;45.96842134;-2200;30000
Akkad;Iraq;32.77156192;44.32045916;-2200;30000
Anshan;Iran;30.01201958;52.40857658;-2200;10000
Dholavira;India;23.886111;70.216667;-2200;15000
Girsu;Iraq;31.56002579;46.1754283;-2200;50000
Harappa;Pakistan;30.62983646;72.86614561;-2200;20000
Memphis;Egypt;29.844722;31.250833;-2200;30000
Mohenjodaro;Pakistan;27.32533494;68.13293014;-2200;40000
Nagar;Syria;36.66739231;41.05865393;-2200;15000
Namazga-Tepe;Turkmenistan;37.372778;59.556944;-2200;10000
Nippur;Iraq;32.12693858;45.23078534;-2200;30000
Rakhigarhi;India;29.288611;76.113056;-2200;10000
Susa;Iran;32.19085;48.246028;-2200;10000
Titris Hoyuk;Turkey;37.47622;38.676116;-2200;10000
Umma;Sumer;31.6211048;45.93344587;-2200;10000
Ur;Iraq;30.962659;46.10321;-2200;40000
Zabalam;Iraq;31.743333;45.876667;-2200;10000
Adab;Iraq;31.94700807;45.96842134;-2100;10000
Anshan;Iran;30.01201958;52.40857658;-2100;10000
Dholavira;India;23.886111;70.216667;-2100;10000
Girsu;Iraq;31.56002579;46.1754283;-2100;80000
Harappa;Pakistan;30.62983646;72.86614561;-2100;15000
Mari;Syria;34.54962872;40.88925833;-2100;30000
Mohenjodaro;Pakistan;27.32533494;68.13293014;-2100;20000
Nagar;Syria;36.66739231;41.05865393;-2100;10000
Namazga-Tepe;Turkmenistan;37.372778;59.556944;-2100;10000
Nina;Iraq;31.411389;46.407222;-2100;10000
Nippur;Iraq;32.12693858;45.23078534;-2100;30000
Rakhigarhi;India;29.288611;76.113056;-2100;10000
Susa;Iran;32.19085;48.246028;-2100;10000
Umma;Sumer;31.6211048;45.93344587;-2100;20000
Ur;Iraq;30.962659;46.10321;-2100;100000
Uruk;Iraq;31.322222;45.636111;-2100;30000
Zabalam;Iraq;31.743333;45.876667;-2100;10000
Adab;Iraq;31.94700807;45.96842134;-2000;10000
Anshan;Iran;30.01201958;52.40857658;-2000;10000
Dholavira;India;23.886111;70.216667;-2000;10000
Girsu;Iraq;31.56002579;46.1754283;-2000;40000
Harappa;Pakistan;30.62983646;72.86614561;-2000;10000
Isin;Iraq;31.88487801;45.2692575;-2000;40000
Larsa;Iraq;31.28397535;45.85304653;-2000;40000
Mari;Syria;34.54962872;40.88925833;-2000;30000
Memphis;Egypt;29.844722;31.250833;-2000;60000
Mohenjodaro;Pakistan;27.32533494;68.13293014;-2000;10000
Mundigak;Afghanistan;31.90671754;65.49785591;-2000;10000
Namazga-Tepe;Turkmenistan;37.372778;59.556944;-2000;10000
Nina;Iraq;31.411389;46.407222;-2000;10000
Nippur;Iraq;32.12693858;45.23078534;-2000;30000
Rakhigarhi;India;29.288611;76.113056;-2000;10000
Susa;Iran;32.19085;48.246028;-2000;25000
Susa;Iran;32.19085;48.246028;-2000;25000
Umma;Sumer;31.6211048;45.93344587;-2000;25000
Ur;Iraq;30.962659;46.10321;-2000;65000
Ur;Iraq;30.962659;46.10321;-2000;20000
Uruk;Iraq;31.322222;45.636111;-2000;30000
Zabalam;Iraq;31.743333;45.876667;-2000;10000
Adab;Iraq;31.94700807;45.96842134;-1900;10000
Assur;Iraq;35.456667;43.2625;-1900;10000
Dilmun;Iraq;26.12163972;50.49894117;-1900;10000
Ebla;Syria;35.79839754;36.79872812;-1900;10000
Elephantine;Egypt;24.083333;32.883333;-1900;16000
Isin;Iraq;31.88487801;45.2692575;-1900;40000
Larsa;Iraq;31.28397535;45.85304653;-1900;40000
Mari;Syria;34.54962872;40.88925833;-1900;30000
Mundigak;Afghanistan;31.90671754;65.49785591;-1900;10000
Nagar;Syria;36.66739231;41.05865393;-1900;10000
Nina;Iraq;31.411389;46.407222;-1900;10000
Nippur;Iraq;32.12693858;45.23078534;-1900;20000
Ur;Iraq;30.962659;46.10321;-1900;10000
Uruk;Iraq;31.322222;45.636111;-1900;30000
Zabalam;Iraq;31.743333;45.876667;-1900;10000
Adab;Iraq;31.94700807;45.96842134;-1800;10000
Aleppo;Syria;36.216667;37.166667;-1800;10000
Anshan;Iran;30.01201958;52.40857658;-1800;10000
Assur;Iraq;35.456667;43.2625;-1800;15000
Avaris;Egypt;30.78629566;31.82221773;-1800;20000
Badtibira;Iraq;31.766667;46.004444;-1800;10000
Ebla;Syria;35.79839754;36.79872812;-1800;10000
Elephantine;Egypt;24.083333;32.883333;-1800;16000
Eshnunna;Iraq;33.484167;44.728333;-1800;10000
Hazor;Israel;33.01745538;35.5685014;-1800;16000
Isin;Iraq;31.88487801;45.2692575;-1800;20000
Larsa;Iraq;31.28397535;45.85304653;-1800;40000
Mari;Syria;34.54962872;40.88925833;-1800;60000
Memphis;Egypt;29.844722;31.250833;-1800;30000
Mohenjodaro;Pakistan;27.32533494;68.13293014;-1800;20000
Mundigak;Afghanistan;31.90671754;65.49785591;-1800;10000
Nippur;Iraq;32.12693858;45.23078534;-1800;20000
Qatna;Syria;34835;36.865833;-1800;20000
Shehna;Syria;36.957222;41.505278;-1800;10000
Susa;Iran;32.19085;48.246028;-1800;25000
Susa;Iran;32.19085;48.246028;-1800;10000
Thebes;Egypt;25.720556;32.610278;-1800;10000
Umma;Sumer;31.6211048;45.93344587;-1800;40000
Zabalam;Iraq;31.743333;45.876667;-1800;10000
Aleppo;Syria;36.216667;37.166667;-1700;10000
Assur;Iraq;35.456667;43.2625;-1700;10000
Avaris;Egypt;30.78629566;31.82221773;-1700;20000
Babylon;Iraq;32.536389;44.420833;-1700;60000
Carchemish;Turkey/Syria;36.829722;38015;-1700;10000
Ebla;Syria;35.79839754;36.79872812;-1700;10000
Elephantine;Egypt;24.083333;32.883333;-1700;16000
Erlitou;China;34.701758;112.697078;-1700;40000
Knossos;Greece;35.2979516;25.16329744;-1700;15000
Qatna;Syria;34835;36.865833;-1700;20000
Susa;Iran;32.19085;48.246028;-1700;10000
Thebes;Egypt;25.720556;32.610278;-1700;10000
Assur;Iraq;35.456667;43.2625;-1600;10000
Avaris;Egypt;30.78629566;31.82221773;-1600;100000
Avaris;Egypt;30.78629566;31.82221773;-1600;50000
Babylon;Iraq;32.536389;44.420833;-1600;60000
Babylon;Iraq;32.536389;44.420833;-1600;60000
Bo ;China;34.733333;112.783333;-1600;24000
Carchemish;Turkey/Syria;36.829722;38015;-1600;20000
Hattusa;Turkey;40.019722;34.615278;-1600;30000
Hazor;Israel;33.01745538;35.5685014;-1600;24000
Hazor;Israel;33.01745538;35.5685014;-1600;20000
Knossos;Greece;35.2979516;25.16329744;-1600;15000
Nineveh;Iraq;36.359444;43.152778;-1600;10000
Qatna;Syria;34835;36.865833;-1600;20000
Susa;Iran;32.19085;48.246028;-1600;25000
Susa;Iran;32.19085;48.246028;-1600;10000
Thebes;Egypt;25.720556;32.610278;-1600;10000
Akrotiri;Greece;36.351389;25.403611;-1500;20000
Assur;Iraq;35.456667;43.2625;-1500;10000
Carchemish;Turkey/Syria;36.829722;38015;-1500;10000
Knossos;Greece;35.2979516;25.16329744;-1500;50000
Nineveh;Iraq;36.359444;43.152778;-1500;10000
Susa;Iran;32.19085;48.246028;-1500;10000
Thebes;Egypt;25.720556;32.610278;-1500;60000
Ao;China;34.766667;113.65;-1400;32000
Assur;Iraq;35.456667;43.2625;-1400;10000
Carchemish;Turkey/Syria;36.829722;38015;-1400;10000
Heliopolis;Egypt;30.129528;31.288889;-1400;30000
Jarkutan;Uzbekistan;39.750833;68.775833;-1400;20000
Kition;Cyprus;34.916667;33.633333;-1400;30000
Nineveh;Iraq;36.359444;43.152778;-1400;10000
Nippur;Iraq;32.12693858;45.23078534;-1400;20000
Susa;Iran;32.19085;48.246028;-1400;10000
Thebes;Egypt;25.720556;32.610278;-1400;80000
Ugarit;Syria;35.60228865;35.78656277;-1400;10000
Uruk;Iraq;31.322222;45.636111;-1400;30000
Amarna;Egypt;27.64528963;30.89624244;-1360;30000
Ao;China;34.766667;113.65;-1360;32000
Dur-Kurigalzu;Iraq;33.35355825;44.20235367;-1360;40000
Hattusa;Turkey;40.021111;34.609722;-1360;45000
Hazor;Israel;33.01745538;35.5685014;-1360;24000
Heliopolis;Egypt;30.129528;31.288889;-1360;30000
Knossos;Greece;35.2979516;25.16329744;-1360;30000
Memphis;Egypt;29.844722;31.250833;-1360;32000
Mycenae;Greece;37.73038721;22.75788116;-1360;30000
Thebes;Egypt;25.720556;32.610278;-1360;80000
Ugarit;Syria;35.60228865;35.78656277;-1360;24000
Uruk;Iraq;31.322222;45.636111;-1360;25000
Assur;Iraq;35.456667;43.2625;-1300;15000
Carchemish;Turkey/Syria;36.829722;38015;-1300;10000
Hattusa;Turkey;40.019722;34.615278;-1300;60000
Heliopolis;Egypt;30.129528;31.288889;-1300;30000
Hermopolis;Egypt;27.781389;30.803889;-1300;30000
Jarkutan;Uzbekistan;39.750833;68.775833;-1300;20000
Kition;Cyprus;34.916667;33.633333;-1300;30000
Nineveh;Iraq;36.359444;43.152778;-1300;10000
Nippur;Iraq;32.12693858;45.23078534;-1300;30000
Sapinuwa;Turkey;40.266667;35.25;-1300;75000
Susa;Iran;32.19085;48.246028;-1300;10000
Thebes;Egypt;25.720556;32.610278;-1300;80000
Troy;Turkey;39.9575;26.238889;-1300;10000
Ugarit;Syria;35.60228865;35.78656277;-1300;10000
Uruk;Iraq;31.322222;45.636111;-1300;30000
Yin;China;36.139444;114.303056;-1300;120000
Anyang;China;36.09944;114.32889;-1200;30000
Argos;Greece;37.63333;22.73333;-1200;24000
Assur;Iraq;35.456667;43.2625;-1200;20000
Babylon;Iraq;32.536389;44.420833;-1200;75000
Dur-Kurigalzu;Iraq;33.35355825;44.20235367;-1200;40000
Dur-Untash;Iran;32.008333;48.520833;-1200;10000
Hattusa;Turkey;40.021111;34.609722;-1200;48000
Hattusa;Turkey;40.019722;34.615278;-1200;60000
Heliopolis;Egypt;30.129528;31.288889;-1200;30000
Hermopolis;Egypt;27.781389;30.803889;-1200;30000
Isin;Iraq;31.88487801;45.2692575;-1200;40000
Memphis;Egypt;29.844722;31.250833;-1200;50000
Memphis;Egypt;29.844722;31.250833;-1200;75000
Mycenae;Greece;37.73038721;22.75788116;-1200;30000
Navarino;Greece;36.916667;21.7;-1200;10000
Nineveh;Iraq;36.359444;43.152778;-1200;10000
Nippur;Iraq;32.12693858;45.23078534;-1200;20000
Pi-Ramesses;Egypt;30.798889;31.835833;-1200;160000
Sanxingdui;China;30993;104.2;-1200;35000
Sapinuwa;Turkey;40.266667;35.25;-1200;60000
Susa;Iran;32.19085;48.246028;-1200;30000
Susa;Iran;32.19085;48.246028;-1200;20000
Thebes;Egypt;25.720556;32.610278;-1200;150000
Ugarit;Syria;35.60228865;35.78656277;-1200;10000
Yin;China;36.139444;114.303056;-1200;120000
Assur;Iraq;35.456667;43.2625;-1100;12000
Babylon;Iraq;32.536389;44.420833;-1100;75000
Heliopolis;Egypt;30.129528;31.288889;-1100;20000
Memphis;Egypt;29.844722;31.250833;-1100;100000
Nineveh;Iraq;36.359444;43.152778;-1100;10000
Pi-Ramesses;Egypt;30.798889;31.835833;-1100;120000
Thebes;Egypt;25.720556;32.610278;-1100;100000
Assur;Iraq;35.456667;43.2625;-1000;12000
Babylon;Iraq;32.536389;44.420833;-1000;100000
Heliopolis;Egypt;30.129528;31.288889;-1000;20000
Luoyang;China;34.669722;112.442222;-1000;50000
Memphis;Egypt;29.844722;31.250833;-1000;100000
Nineveh;Iraq;36.359444;43.152778;-1000;10000
Pyongyang;Dem. People's Republic of Korea;39.03385;125.75432;-1000;25000
Susa;Iran;32.19085;48.246028;-1000;25000
Tanis;Egypt;30.976944;31.88;-1000;35000
Thebes;Egypt;25.720556;32.610278;-1000;120000
Tyre;Lebanon;33.27333;35.19389;-1000;10000
Babylon;Iraq;32.536389;44.420833;-900;100000
Caracol;Mexico;20.6792;-88.5707;-900;100000
Memphis;Egypt;29.844722;31.250833;-900;100000
Teotihuacan;Mexico;19.69291001;-98.84606;-900;100000
Thebes;Egypt;25.720556;32.610278;-900;100000
Tikal;Guatemala;17.222094;-89.623614;-900;100000
Babylon;Iraq;32.536389;44.420833;-800;100000
Caracol;Mexico;20.6792;-88.5707;-800;100000
Jerusalem;Israel;31.76904;35.21633;-800;36000
Luoyang;China;34.669722;112.442222;-800;50000
Memphis;Egypt;29.844722;31.250833;-800;100000
Nimrud;Iraq;36.09813154;43.32875612;-800;50000
Pyongyang;Dem. People's Republic of Korea;39.03385;125.75432;-800;25000
Samaria;Palestine;32.27616956;35.19040505;-800;27000
Susa;Iran;32.19085;48.246028;-800;27000
Teotihuacan;Mexico;19.69291001;-98.84606;-800;150000
Thebes;Egypt;25.720556;32.610278;-800;100000
Tikal;Guatemala;17.222094;-89.623614;-800;100000
Samarkand;Uzbekistan;39.6576;66.947561;-712;45000
Babylon;Iraq;32.536389;44.420833;-700;100000
Caracol;Mexico;20.6792;-88.5707;-700;140000
Linzi;China;36.8167;118.3;-700;100000
Luoyang;China;34.669722;112.442222;-700;100000
Memphis;Egypt;29.844722;31.250833;-700;100000
Nineveh;Iraq;36.359444;43.152778;-700;100000
Teotihuacan;Mexico;19.69291001;-98.84606;-700;100000
Thebes;Egypt;25.720556;32.610278;-700;100000
Babylon;Iraq;32.536389;44.420833;-650;60000
Jerusalem;Israel;31.76904;35.21633;-650;45000
Luoyang;China;34.669722;112.442222;-650;70000
Mareb;Yemen;15.40427477;45.355823;-650;45000
Miletus;Turkey;37.530278;27.278333;-650;50000
Nimrud;Iraq;36.09813154;43.32875612;-650;40000
Nineveh;Iraq;36.359444;43.152778;-650;120000
Pyongyang;Dem. People's Republic of Korea;39.03385;125.75432;-650;30000
Sais;Egypt;30.96485438;30.76872699;-650;48000
Susa;Iran;32.19085;48.246028;-650;30000
Babylon;Iraq;32.536389;44.420833;-600;200000
Caracol;Mexico;20.6792;-88.5707;-600;100000
Carthage;Tunisia;36.858056;10.330833;-600;100000
Linzi;China;36.8167;118.3;-600;100000
Luoyang;China;34.669722;112.442222;-600;200000
Teotihuacan;Mexico;19.69291001;-98.84606;-600;100000
Tikal;Guatemala;17.222094;-89.623614;-600;100000
Anyi;China;28.8389;115599;-500;100000
Babylon;Iraq;32.536389;44.420833;-500;200000
Caracol;Mexico;20.6792;-88.5707;-500;100000
Carthage;Tunisia;36.858056;10.330833;-500;100000
Ecbatana;Iran;34.80533179;48.51738769;-500;100000
Handan;China;36.6;114.483333;-500;100000
Kaifeng;China;34.7986;114.30742;-500;100000
Linzi;China;36.8167;118.3;-500;200000
Luoyang;China;34.669722;112.442222;-500;200000
Memphis;Egypt;29.844722;31.250833;-500;100000
Qufu;China;35.6;117.033333;-500;100000
Rajagriha;India;25.03;85.42;-500;100000
Rome;Italy;41.89474;12.4839;-500;100000
Shangqi;China;31.22222;121.45806;-500;100000
Syracuse;Greece;37.06082237;15.29420264;-500;100000
Tiahuanaco;Bolivia;-16.55228;-68.67953;-500;100000
Agrigento;Italy;37.29082765;13.58427204;-430;40000
Argos;Greece;37.63333;22.73333;-430;40000
Athens;Greece;37.97945;23.71622;-430;155000
Babylon;Iraq;32.536389;44.420833;-430;200000
Carthage;Tunisia;36.8581;10.3308;-430;50000
Changsha;China;28.196111;112.972222;-430;40000
Corinth;Greece;37.938636;22.932228;-430;70000
Crotone;Italy;39.08144536;17.12880422;-430;35000
Cyrene;Libya;32.81901498;21.85583296;-430;35000
Damascus;Syria;33.5102;36.29128;-430;30000
Ecbatana;Iran;34.80533179;48.51738769;-430;90000
Elis;Greece;37.89189226;21.37348005;-430;30000
Gela;Italy;37.08034;14.23068;-430;35000
Jerusalem;Israel;31.76904;35.21633;-430;49000
Kerkira;Greece;39.583333;19.866667;-430;35000
Lucheng;China;36.316667;113.216667;-430;50000
Luoyang;China;34.669722;112.442222;-430;100000
Memphis;Egypt;29.844722;31.250833;-430;100000
Messina;Italy;38.19327;15.54969;-430;38000
Patna;India;25.610533;85.14145;-430;100000
Perspolis;Iran;29.93448748;52.89096558;-430;50000
Rome;Italy;41.89474;12.4839;-430;35000
Sardis;Turkey;38.48226723;28.04759086;-430;35000
Sidon;Lebanon;33.55993;35.37564;-430;36000
Sparti;Greece;37.08182158;22.4234456;-430;40000
Susa;Iran;32.19085;48.246028;-430;70000
Suzhou;China;31.3;120.6;-430;60000
Syracuse;Greece;37.06082237;15.29420264;-430;125000
Taranto;Italy;40.47054509;17.24555378;-430;40000
Tyre;Lebanon;33.27333;35.19389;-430;35000
Vaishali;India;25.6833;85.081782;-430;45000
Varanasi;India;25.317645;82.973914;-430;54000
Anyi;China;28.8389;115599;-400;100000
Athens;Greece;37.97945;23.71622;-400;100000
Babylon;Iraq;32.536389;44.420833;-400;200000
Carthage;Tunisia;36.858056;10.330833;-400;200000
Ecbatana;Iran;34.80533179;48.51738769;-400;100000
Handan;China;36.6;114.483333;-400;100000
Kaifeng;China;34.7986;114.30742;-400;200000
Linzi;China;36.8167;118.3;-400;200000
Luoyang;China;34.669722;112.442222;-400;200000
Memphis;Egypt;29.844722;31.250833;-400;100000
Pataliputra;India;25611;85144;-400;100000
Qufu;China;35.6;117.033333;-400;100000
Rome;Italy;41.89474;12.4839;-400;150000
Samarkand;Uzbekistan;39.6576;66.947561;-400;100000
Shangqi;China;31.22222;121.45806;-400;130000
Suzhou;China;31.3;120.6;-400;100000
Syracuse;Greece;37.06082237;15.29420264;-400;120000
Vaishali;India;25.6833;85.081782;-400;100000
Xinzheng;China;34.233333;113.433333;-400;100000
Yiyang;China;28.583333;112.333333;-400;100000
Alexandria;Egypt;31.200092;29.918739;-300;300000
Anyi;China;28.8389;115599;-300;100000
Babylon;Iraq;32.536389;44.420833;-300;100000
Capua;Italy;41.09971;14.22013;-300;100000
Carthage;Tunisia;36.858056;10.330833;-300;500000
Jerusalem;Israel;31.76904;35.21633;-300;100000
Linzi;China;36.8167;118.3;-300;350000
Luoyang;China;34.669722;112.442222;-300;250000
Memphis;Egypt;29.844722;31.250833;-300;100000
Pataliputra;India;25611;85144;-300;400000
Qufu;China;35.6;117.033333;-300;180000
Rome;Italy;41.89474;12.4839;-300;250000
Samarkand;Uzbekistan;39.6576;66.947561;-300;100000
Seleucia;Iraq;33.094444;44.522222;-300;100000
Shangqi;China;31.22222;121.45806;-300;100000
Suzhou;China;31.3;120.6;-300;100000
Syracuse;Greece;37.06082237;15.29420264;-300;200000
Taxilla;Pakistan;33.75743141;72.82952293;-300;100000
Tollan;Mexico;20.064156;-99.340803;-300;100000
Vaishali;India;25.6833;85.081782;-300;200000
Xianyang;China;34.35;108.716667;-300;100000
Xinzheng;China;34.233333;113.433333;-300;120000
Yiyang;China;28.583333;112.333333;-300;200000
Alexandria;Egypt;31.200092;29.918739;-200;300000
Alexandria;Egypt;31.200092;29.918739;-200;600000
Antioch;Syria/Turkey;36.20655;36.15722;-200;120000
Antioch;Turkey;36.20655;36.15722;-200;100000
Balkh;Afghanistan;36.75635;66.8972;-200;75000
Carthage;Tunisia;36.8581;10.3308;-200;150000
Carthage;Tunisia;36.858056;10.330833;-200;200000
Changsha;China;28.196111;112.972222;-200;38000
Cyrene;Libya;32.81901498;21.85583296;-200;30000
Ephesus;Turkey;37.94049284;27.34104109;-200;40000
Ephesus;Turkey;37.94049284;27.34104109;-200;100000
Izapa;Mexico;14.92339814;-92.17999;-200;35000
Jerusalem;Israel;31.76904;35.21633;-200;100000
Linzi;China;36.8167;118.3;-200;100000
Luoyang;China;34.669722;112.442222;-200;60000
Luoyang;China;34.669722;112.442222;-200;200000
Messina;Italy;38.19327;15.54969;-200;35000
Olbia;Italy;40.9167;9.5;-200;30000
Paithan;India;19.47506;75.38558;-200;60000
Pataliputra;India;25611;85144;-200;350000
Patna;India;25.610533;85.14145;-200;350000
Pergamum;Turkey;39.13225127;27.1836318;-200;35000
Pergamum;Turkey;39.13225127;27.1836318;-200;200000
Rhodes;Greece;36.4333;28.2167;-200;42000
Rome;Italy;41.89474;12.4839;-200;210000
Seleucia;Iraq;33.094444;44.522222;-200;200000
Seleucia;Iraq;33.094444;44.522222;-200;200000
Sparti;Greece;37.08182158;22.4234456;-200;30000
Syracuse;Greece;37.06082237;15.29420264;-200;100000
Taxilla;Pakistan;33.75743141;72.82952293;-200;60000
Taxilla;Pakistan;33.75743141;72.82952293;-200;150000
Tres Zapotes;Mexico;18.466667;-95.433333;-200;30000
Ujjain;India;23.18239;75.77643;-200;100000
Vaishali;India;25.6833;85.081782;-200;100000
Xian;China;34.341485;108.940404;-200;400000
Xian;China;34.341485;108.940404;-200;100000
Xianyang;China;34.35;108.716667;-200;100000
Alexandria;Egypt;31.200092;29.918739;-100;1000000
Ankara;Turkey;39.91987;32.85427;-100;34000
Antioch;Syria/Turkey;36.20655;36.15722;-100;150000
Antioch;Turkey;36.20655;36.15722;-100;125000
Anuradhapura;Sri Lanka;8.31223;80.41306;-100;130000
Anuradhapura;Sri Lanka;8.35;80.383333;-100;100000
Apamea;Turkey;35.41853326;36.40475674;-100;37000
Apamea;Turkey;35.41853326;36.40475674;-100;100000
Athens;Greece;37.97945;23.71622;-100;75000
Cadiz;Spain;36.52978;-6.29465;-100;62000
Capua;Italy;41.09971;14.22013;-100;36000
Carthage;Tunisia;36.8581;10.3308;-100;100000
Chengdu;China;30.66667;104.06667;-100;70000
Corinth;Greece;37.938636;22.932228;-100;50000
Duhuang;China;40.15;94.666667;-100;32000
Ephesus;Turkey;37.94049284;27.34104109;-100;51000
Ephesus;Turkey;37.94049284;27.34104109;-100;100000
Gortyn;Greece;35.06262738;24.94680958;-100;30000
Istanbul;Turkey;41.005275;28.976944;-100;36000
Jerusalem;Israel;31.76904;35.21633;-100;100000
Linzi;China;36.8167;118.3;-100;100000
London;United Kingdom;51.511214;-0.119825;-100;30000
Luoyang;China;34.669722;112.442222;-100;200000
Lyon;France;45.74846;4.84671;-100;50000
Maoling;China;34.335853;108.570328;-100;100000
Milan;Italy;45.465453;9.198786;-100;30000
Nimes;France;43.83333;4.35;-100;44000
