UF;Cidade;PIB;População (2009);PIB percapita
CEARÁ;Novo Oriente;93621.45;28703;3261.73
PARAÍBA;Alcantil;22410.37;5232;4283.33
SANTA CATARINA;Meleiro;158156.39;7063;22392.24
MATO GROSSO;Sapezal;1418892125.00;15735;90174.27
MINAS GERAIS;Pouso Alto;80420.05;6494;12383.75
PIAUÍ;Dom Inocêncio;25457.23;10795;2358.24
SERGIPE;Santana do São Francisco;30641.17;6861;4465.99
MINAS GERAIS;Campanha;145911.33;15949;9148.62
MINAS GERAIS;Orizânia;32101.35;7078;4535.37
SANTA CATARINA;São José do Cerrito;78940.25;10624;7430.37
PIAUÍ;Prata do Piauí;10738.21;3260;3293.93
MARANHÃO;Amarante do Maranhão;131346625.00;37388;3513.07
BAHIA;Itaparica;102586.65;20796;4933.00
SÃO PAULO;Araraquara;4193535.25;200666;20898.09
SERGIPE;Indiaroba;86033.26;18126;4746.40
RIO GRANDE DO NORTE;Taipu;68109.52;12165;5598.81
BAHIA;Nova Redenção;28909.57;9318;3102.55
PARÁ;Aveiro;54393.73;20266;2683.99
PIAUÍ;Alegrete do Piauí;21006.09;4595;4571.51
RIO GRANDE DO SUL;Monte Belo do Sul;58234.11;2826;20606.55
PARANÁ;Nova Aurora;189617.91;11636;16295.80
PERNAMBUCO;Santa Maria do Cambucá;48165.31;12942;3721.63
SANTA CATARINA;Peritiba;46664.70;2977;15675.08
MINAS GERAIS;Brasópolis;105255.15;14756;7133.04
PIAUÍ;Lagoa Alegre;24826.52;8210;3023.94
PIAUÍ;Curimatá;40100.84;10765;3725.11
PARAÍBA;Barra de Santana;34139.80;8909;3832.06
MINAS GERAIS;Leme do Prado;22865.88;5145;4444.29
PARAÍBA;Alagoa Nova;123786.27;19799;6252.15
RIO GRANDE DO SUL;São Jerônimo;281260.28;21289;13211.53
MINAS GERAIS;Rio Vermelho;62241.30;15343;4056.66
SÃO PAULO;Itapevi;3638207.25;205881;17671.41
BAHIA;Ibicuí;69475.16;16464;4219.82
PARANÁ;Rancho Alegre;33275.30;4083;8149.72
RIO GRANDE DO SUL;Erval Grande;53334.70;5367;9937.53
MATO GROSSO;Planalto da Serra;33849.76;2797;12102.17
BAHIA;Santa Rita de Cássia;91663.00;27528;3329.81
MINAS GERAIS;Imbé de Minas;38283.34;6641;5764.70
GOIÁS;Novo Gama;352584.97;88835;3968.99
PIAUÍ;Passagem Franca do Piauí;14411.98;4246;3394.25
RIO GRANDE DO SUL;Chuí;140923.67;5496;25641.13
CEARÁ;Ibaretama;42010.30;13206;3181.15
SÃO PAULO;Bastos;322317.31;21380;15075.65
SÃO PAULO;Três Fronteiras;49727.09;5163;9631.43
GOIÁS;Britânia;48315.81;5190;9309.41
MINAS GERAIS;Douradoquara;23141.84;1924;12027.98
PARANÁ;Piraí do Sul;293748.59;24374;12051.72
SÃO PAULO;Américo Brasiliense;578886875.00;33255;17407.51
BAHIA;Nordestina;35456.32;12670;2798.45
PARANÁ;São Manoel do Paraná;18855.14;2170;8689.01
SANTA CATARINA;Santa Cecília;201708875.00;15928;12663.79
PARAÍBA;Serra Grande;12504.24;3147;3973.38
PIAUÍ;Alagoinha do Piauí;27277.73;7736;3526.08
SANTA CATARINA;São João do Sul;84870.84;7174;11830.34
MATO GROSSO DO SUL;Anastácio;202939.39;23047;8805.46
RIO GRANDE DO NORTE;Pedra Preta;12639.97;2718;4650.47
MARANHÃO;Alto Alegre do Maranhão;70238.39;22914;3065.30
SERGIPE;Poço Redondo;138586.83;30249;4581.53
SÃO PAULO;Sertãozinho;4155643.50;110999;37438.57
PARAÍBA;Riacho de Santo Antônio;9611.01;1588;6052.27
PARAÍBA;São José da Lagoa Tapada;29955.48;8067;3713.34
BAHIA;Coronel João Sá;76828.92;18408;4173.67
RIO GRANDE DO SUL;Sarandi;389289.53;21828;17834.41
MARANHÃO;Governador Luiz Rocha;23451.05;7144;3282.62
MINAS GERAIS;Piranguçu;34538.81;5319;6493.48
BAHIA;Pedro Alexandre;58842.01;17698;3324.78
MARANHÃO;Morros;48157.77;17916;2687.98
RIO GRANDE DO SUL;Casca;201810.28;8654;23319.88
PARANÁ;São Mateus do Sul;552378875.00;41188;13411.16
RIO DE JANEIRO;Varre-Sai;88212.84;8852;9965.30
SÃO PAULO;Sabino;71262.48;5420;13148.06
SÃO PAULO;Caraguatatuba;1147377.50;96125;11936.31
BAHIA;Prado;285453.97;26016;10972.25
SANTA CATARINA;Rio das Antas;86345.40;6237;13844.06
PARAÍBA;Cruz do Espírito Santo;71412.45;15854;4504.38
RIO GRANDE DO SUL;Protásio Alves;30150.00;2188;13779.71
BAHIA;Iaçu;109799.95;28602;3838.89
SERGIPE;Areia Branca;86116.29;16733;5146.49
RONDÔNIA;Itapuã do Oeste;84785.73;8235;10295.78
MINAS GERAIS;São João Evangelista;81616.99;16254;5021.35
PIAUÍ;Cocal;79448.50;27220;2918.75
PARANÁ;São Tomé;89769.36;5522;16256.68
PERNAMBUCO;Lagoa do Ouro;48624.84;12244;3971.32
RIO GRANDE DO SUL;Cacique Doble;52123.50;5008;10408.05
RIO GRANDE DO SUL;Porto Xavier;142891.27;11131;12837.24
MINAS GERAIS;Ewbank da Câmara;19510.06;3676;5307.42
RORAIMA;Pacaraima;93442.57;9220;10134.77
MINAS GERAIS;Viçosa;599764125.00;74171;8086.23
MATO GROSSO DO SUL;Sonora;258011.56;13334;19349.90
RIO GRANDE DO SUL;Jari;88814.83;3802;23360.03
PERNAMBUCO;Joaquim Nabuco;96163.34;16498;5828.79
MINAS GERAIS;Ubaporanga;69659.02;12561;5545.66
PARANÁ;Tupãssi;137302.31;7947;17277.25
SÃO PAULO;Santo Expedito;27413.52;2956;9273.86
RIO GRANDE DO SUL;Caiçara;60827.07;5240;11608.22
MARANHÃO;Capinzal do Norte;44285.92;10688;4143.52
RIO GRANDE DO NORTE;Caiçara do Norte;31648.86;6652;4757.80
SÃO PAULO;Paulo de Faria;121381.28;9463;12826.93
PARANÁ;Ampére;193306.61;18041;10714.85
PIAUÍ;Paes Landim;14581.94;4562;3196.39
MINAS GERAIS;Campo do Meio;83806.19;11871;7059.74
PARANÁ;Anahy;33611.80;2926;11487.29
ESPIRITO SANTO;Serra;11531826.00;404688;28495.60
SÃO PAULO;São João do Pau d'Alho;36372.30;2191;16600.78
SÃO PAULO;Paulicéia;73761.81;5791;12737.32
RIO GRANDE DO NORTE;Viçosa;8834.25;1856;4759.83
RIO GRANDE DO NORTE;Fernando Pedroza;12757.66;2994;4261.07
MINAS GERAIS;Aricanduva;23447.11;5140;4561.69
BAHIA;Araci;172730.89;54713;3157.04
SÃO PAULO;Tremembé;393278.47;41159;9555.10
TOCANTINS;Buriti do Tocantins;39691.95;8454;4695.05
GOIÁS;Cezarina;145802.77;7832;18616.29
MARANHÃO;Vitorino Freire;122207.02;31144;3923.93
RONDÔNIA;Ariquemes;1040960.81;85541;12169.14
PARAÍBA;Seridó;32620.48;10091;3232.63
PARANÁ;Castro;1097076.75;68071;16116.65
ALAGOAS;Santana do Mundaú;52134.54;12039;4330.47
PARAÍBA;Esperança;221022.56;30855;7163.27
PARAÍBA;Poço de José de Moura;17580.73;4118;4269.24
GOIÁS;Gouvelândia;120889.48;4790;25237.89
RIO GRANDE DO SUL;Ibiraiaras;136556.06;7319;18657.75
ESPIRITO SANTO;Pancas;123706.65;18497;6687.93
RIO DE JANEIRO;Cardoso Moreira;203775.77;12481;16326.88
PARANÁ;São Pedro do Iguaçu;84376.41;6561;12860.30
PARAÍBA;Uiraúna;65173.61;14963;4355.65
ALAGOAS;Campo Alegre;182361.03;47209;3862.84
SANTA CATARINA;Morro da Fumaça;370818.00;16128;22992.19
RIO GRANDE DO SUL;Westfalia;67336.80;2843;23685.12
MINAS GERAIS;Catuti;22031.85;5473;4025.55
PIAUÍ;Cocal de Telha;15476.57;4689;3300.61
SÃO PAULO;Leme;1338844125.00;88995;15044.04
SÃO PAULO;Nova Europa;113681.12;10092;11264.48
MARANHÃO;Bequimão;64784.92;21508;3012.13
PARANÁ;Quedas do Iguaçu;477660.84;31976;14938.11
PARAÍBA;Maturéia;24164.59;6029;4008.06
ALAGOAS;Passo de Camaragibe;59784.69;14261;4192.18
SÃO PAULO;São João das Duas Pontes;31190.77;2630;11859.61
SÃO PAULO;Promissão;771585.31;37570;20537.27
PERNAMBUCO;Santa Cruz;53805.15;14782;3639.91
SERGIPE;Pacatuba;153896.00;12870;11957.73
BAHIA;Coribe;63455.31;14895;4260.18
RIO GRANDE DO NORTE;Messias Targino;21696.82;3923;5530.67
ESPIRITO SANTO;Alto Rio Novo;47128.93;6172;7635.93
SÃO PAULO;Novais;37936.87;3974;9546.27
PIAUÍ;Campo Grande do Piauí;20200.31;5898;3424.94
MINAS GERAIS;Inhapim;150295.23;24952;6023.37
SANTA CATARINA;Ermo;40582.93;1857;21854.03
BAHIA;Araças;97321.03;12209;7971.25
BAHIA;Conceição do Almeida;69316.43;17974;3856.48
GOIÁS;Orizona;234588.98;15201;15432.47
CEARÁ;Acarape;56133.10;15627;3592.06
PARAÍBA;Pilõezinhos;21413.60;5470;3914.73
MINAS GERAIS;Serra Azul de Minas;17296.31;4479;3861.65
MINAS GERAIS;Passa-Vinte;12662.80;2132;5939.40
PERNAMBUCO;Petrolina;2283346.25;281851;8101.25
MINAS GERAIS;Juruaia;72658.75;8684;8366.97
BAHIA;Baianópolis;60240.00;14195;4243.75
MATO GROSSO;Gaúcha do Norte;132122.64;6195;21327.30
MINAS GERAIS;Araújos;61315.71;7692;7971.36
SÃO PAULO;Santo Anastácio;225050.08;21222;10604.57
RIO GRANDE DO NORTE;Riacho da Cruz;13750.83;3165;4344.65
PARANÁ;Peabiru;130212.73;13347;9755.96
SÃO PAULO;Guzolândia;45986.61;4917;9352.57
PIAUÍ;Regeneração;60257.28;18190;3312.66
MARANHÃO;São José dos Basílios;27508.05;7489;3673.13
RIO DE JANEIRO;Queimados;1224457.75;139378;8785.16
TOCANTINS;Sucupira;29328.92;1741;16846.02
BAHIA;Cruz das Almas;387271.41;57098;6782.57
MINAS GERAIS;São Sebastião do Oeste;141371.28;5689;24849.93
TOCANTINS;Novo Jardim;21134.15;2525;8369.96
PARAÍBA;Alhandra;233951.81;18941;12351.61
RIO GRANDE DO SUL;Alecrim;68632.77;7259;9454.85
PIAUÍ;Riacho Frio;16725.68;5093;3284.05
PARÁ;Marabá;3058909.00;203049;15064.88
TOCANTINS;Angico;19860.27;3300;6018.26
TOCANTINS;Palmeirópolis;63415.48;8492;7467.67
MINAS GERAIS;Santos Dumont;563264.25;47244;11922.45
BAHIA;Feira de Santana;6358135.50;591707;10745.41
SÃO PAULO;Pereiras;143394.95;8076;17755.69
SANTA CATARINA;Rio do Sul;1234667.50;59962;20590.83
RIO GRANDE DO SUL;Anta Gorda;92337.53;6326;14596.51
TOCANTINS;Santa Fé do Araguaia;59609.54;5795;10286.37
BAHIA;Jaborandi;161163.73;8895;18118.46
MINAS GERAIS;Congonhal;89204.51;10261;8693.55
PARÁ;Portel;166577.47;48945;3403.36
MINAS GERAIS;Silveirânia;14646.61;2193;6678.80
RIO GRANDE DO SUL;Campo Bom;1244125625.00;59366;20956.87
MINAS GERAIS;São Romão;52772.86;9713;5433.22
MINAS GERAIS;São João das Missões;35754.64;11267;3173.39
PARÁ;Breves;300338.16;101094;2970.88
PARANÁ;Cerro Azul;182354.27;18660;9772.47
GOIÁS;Petrolina de Goiás;71342.06;10061;7090.95
RIO GRANDE DO SUL;Coronel Bicaco;115668.95;7971;14511.22
PARANÁ;Pinhão;474849625.00;30295;15674.19
PERNAMBUCO;Bezerros;285545.97;58354;4893.34
TOCANTINS;Formoso do Araguaia;251944.97;18719;13459.32
SÃO PAULO;Piraju;347479.03;29398;11819.82
GOIÁS;Santo Antônio da Barra;71073.35;4295;16547.93
SANTA CATARINA;Três Barras;377119.44;18708;20158.19
RIO GRANDE DO SUL;São Francisco de Assis;209910.53;19799;10602.08
RORAIMA;Mucajaí;146580.05;13188;11114.65
SERGIPE;Maruim;157533.97;15582;10110.00
MINAS GERAIS;Lima Duarte;117942.37;16494;7150.62
MINAS GERAIS;Comercinho;40922.23;8637;4738.02
SANTA CATARINA;Cunha Porã;231428.97;11079;20888.98
PIAUÍ;Paquetá;15219.07;4686;3247.77
AMAZONAS;Nova Olinda do Norte;108783.34;31012;3507.78
SANTA CATARINA;Itapoá;136989625.00;11489;11923.55
RIO DE JANEIRO;São Sebastião do Alto;83303.69;9052;9202.79
BAHIA;Santaluz;129238.14;35416;3649.15
ESPIRITO SANTO;Vargem Alta;174520.09;18637;9364.17
MINAS GERAIS;Cordislândia;34203.64;3743;9138.03
MINAS GERAIS;Santa Helena de Minas;24735.28;6126;4037.75
MINAS GERAIS;Leopoldina;510692.75;51545;9907.71
MINAS GERAIS;Machado;624136.00;39509;15797.31
PIAUÍ;Lagoinha do Piauí;9008.68;2676;3366.47
RIO GRANDE DO NORTE;Tenente Laurentino Cruz;25890.28;5369;4822.18
MATO GROSSO;São Pedro da Cipa;27307.93;4241;6439.03
BAHIA;Alagoinhas;1298216375.00;137810;9420.34
SANTA CATARINA;Ouro Verde;63212.09;2179;29009.68
TOCANTINS;Paranã;63521.60;10824;5868.59
RIO GRANDE DO NORTE;São José de Mipibu;224160.22;38404;5836.90
SÃO PAULO;Cunha;127499.70;23735;5371.80
MINAS GERAIS;Coroaci;55665.80;11131;5000.97
MINAS GERAIS;Rubim;50577.96;9855;5132.21
MINAS GERAIS;Patrocínio do Muriaé;30995.89;5613;5522.16
MINAS GERAIS;Conceição do Pará;114920.37;4866;23617.01
PARAÍBA;Santo André;11492.10;2707;4245.33
MINAS GERAIS;Capitão Enéas;170824125.00;14830;11518.82
SÃO PAULO;Valinhos;3042457.00;107481;28306.93
MINAS GERAIS;Nova Serrana;619228.56;67967;9110.72
SÃO PAULO;Florínia;97524.52;2856;34147.24
MINAS GERAIS;Pedro Leopoldo;865962.75;59064;14661.43
BAHIA;Itiruçu;68143.16;16827;4049.63
PARANÁ;Novo Itacolomi;23699.01;2808;8439.82
AMAZONAS;Manaus;40486108.00;1738641;23286.06
PARAÍBA;Tenório;12547.23;2921;4295.53
MINAS GERAIS;Rio Espera;28883.21;6728;4292.99
ACRE;Senador Guiomard;217153.86;19697;11024.72
GOIÁS;Jussara;188344.22;19130;9845.49
MINAS GERAIS;Guarani;78912.16;10049;7852.74
SÃO PAULO;Fernandópolis;978006125.00;63539;15392.22
SÃO PAULO;Riolândia;100229.57;10542;9507.64
PIAUÍ;São Gonçalo do Gurguéia;10072.89;2544;3959.47
TOCANTINS;Crixás do Tocantins;20361.16;1289;15796.09
PIAUÍ;Jardim do Mulato;14268.65;4318;3304.46
MARANHÃO;Godofredo Viana;31905.39;11207;2846.92
MINAS GERAIS;Aguanil;29883.59;4315;6925.51
MINAS GERAIS;Ribeirão das Neves;1712842.50;349307;4903.54
RIO GRANDE DO NORTE;Ruy Barbosa;17067.81;3730;4575.82
BAHIA;Mulungu do Morro;39825.96;13879;2869.51
RIO GRANDE DO SUL;Ajuricaba;129304.87;7374;17535.24
ALAGOAS;Marechal Deodoro;620477.50;47623;13028.95
PIAUÍ;Acauã;22335.98;7354;3037.26
MINAS GERAIS;Itutinga;55648.80;4165;13361.06
PERNAMBUCO;Limoeiro;269157125.00;57243;4702.01
CEARÁ;Aratuba;50276.92;12478;4029.24
RIO GRANDE DO SUL;Boa Vista das Missões;54992.50;2100;26186.91
CEARÁ;Pindoretama;76975.75;18322;4201.27
MINAS GERAIS;Sabará;1005070625.00;126195;7964.43
PARANÁ;Rio Branco do Sul;550602.94;33142;16613.45
BAHIA;Cabaceiras do Paraguaçu;58247.79;18569;3136.83
MINAS GERAIS;São Geraldo do Baixio;21757.00;3461;6286.33
SANTA CATARINA;Jardinópolis;23165.56;1881;12315.56
MINAS GERAIS;Lagoa Santa;672530.50;48213;13949.15
MINAS GERAIS;Senador Cortes;14030.48;2082;6738.94
MINAS GERAIS;Nepomuceno;233659.20;25152;9289.89
MATO GROSSO;Cocalinho;93218.72;6103;15274.24
PIAUÍ;Sebastião Barros;17421.07;4270;4079.88
BAHIA;Tanque Novo;70092.86;16466;4256.82
MINAS GERAIS;Brás Pires;20628.43;4615;4469.87
MINAS GERAIS;Monte Azul;94946.19;22838;4157.38
SÃO PAULO;Mauá;6574846.50;417458;15749.72
BAHIA;Planaltino;31850.30;8880;3586.75
MINAS GERAIS;Tupaciguara;294354.84;23841;12346.58
MATO GROSSO DO SUL;Alcinópolis;92977.23;4515;20592.96
BAHIA;Serrinha;393287.06;73859;5324.84
SANTA CATARINA;Abdon Batista;35731.48;2805;12738.50
MARANHÃO;Carutapera;67091.47;21121;3176.53
RIO DE JANEIRO;Cantagalo;622857.50;20540;30324.12
CEARÁ;Boa Viagem;195497.72;56236;3476.38
MINAS GERAIS;Sacramento;527058.94;23112;22804.56
BAHIA;Ipiaú;271794.59;43723;6216.28
SANTA CATARINA;Bom Jardim da Serra;47566.70;4383;10852.54
SÃO PAULO;Várzea Paulista;1421194.00;107211;13256.05
GOIÁS;Rio Quente;49451.97;3285;15053.87
PIAUÍ;Santana do Piauí;15979.00;5015;3186.24
RIO GRANDE DO SUL;Carlos Gomes;20166.67;1718;11738.46
SÃO PAULO;Riversul;43661.62;6520;6696.57
ACRE;Assis Brasil;48347.30;5662;8538.91
PARAÍBA;Araruna;78491.85;20009;3922.83
MINAS GERAIS;Jequitaí;44734.48;8117;5511.21
BAHIA;Conceição do Jacuípe;404286.28;28769;14052.84
BAHIA;Ibirapitanga;94739.74;24223;3911.15
GOIÁS;Acreúna;292935.16;19246;15220.57
ALAGOAS;São Miguel dos Milagres;29789.49;7601;3919.15
MATO GROSSO;Pontes e Lacerda;523958.28;39228;13356.74
MINAS GERAIS;Águas Formosas;92617.01;19310;4796.32
PARANÁ;Imbituva;220502.33;28660;7693.73
SÃO PAULO;Alto Alegre;38369.39;4267;8992.12
ESPIRITO SANTO;João Neiva;162151.44;14621;11090.31
PIAUÍ;Valença do Piauí;90192.67;20303;4442.33
MINAS GERAIS;Pompéu;387824.66;29929;12958.16
ACRE;Epitaciolândia;129641.09;14224;9114.25
MINAS GERAIS;Veríssimo;77581.66;3991;19439.15
PIAUÍ;São João da Serra;22621.08;6877;3289.38
PIAUÍ;Coronel José Dias;13511.10;4484;3013.18
MINAS GERAIS;Cachoeira da Prata;29977.32;3936;7616.19
MINAS GERAIS;São Gonçalo do Pará;77404.93;11246;6882.89
SÃO PAULO;Bragança Paulista;2389078.25;145894;16375.44
MATO GROSSO;General Carneiro;98700.05;5028;19630.08
MARANHÃO;São Roberto;17869.60;5217;3425.26
PARÁ;Nova Esperança do Piriá;69204.70;24062;2876.10
PARANÁ;Pato Branco;1345454625.00;70160;19176.95
MINAS GERAIS;Caraí;80639375.00;22392;3601.26
RIO GRANDE DO NORTE;Senador Georgino Avelino;20890.93;3854;5420.58
MINAS GERAIS;Resplendor;154419.02;17608;8769.82
TOCANTINS;Pedro Afonso;219720.22;10758;20423.89
SANTA CATARINA;Timbó;857392.69;35303;24286.68
PIAUÍ;São Gonçalo do Piauí;15585.75;4485;3475.08
SÃO PAULO;Vargem Grande Paulista;632840.31;44754;14140.42
SÃO PAULO;Cássia dos Coqueiros;39400.17;2737;14395.39
RIO GRANDE DO NORTE;Baía Formosa;154971.22;8811;17588.38
PERNAMBUCO;Goiana;634199.56;74424;8521.44
RIO GRANDE DO SUL;Cerro Branco;54877.24;4673;11743.47
PIAUÍ;Joca Marques;15076.13;5614;2685.45
PARANÁ;São João do Caiuá;45573.43;6152;7407.90
PERNAMBUCO;Iguaraci;45478.79;12397;3668.53
RIO GRANDE DO SUL;Garruchos;218234.14;3509;62192.69
MATO GROSSO;Santa Carmem;182842.89;4573;39983.14
BAHIA;Itapetinga;658192.25;66665;9873.13
MINAS GERAIS;Seritinga;13994.19;1818;7697.57
MINAS GERAIS;Taparuba;18789.33;3357;5597.06
RIO GRANDE DO NORTE;Bodó;16126.94;2592;6221.81
RIO GRANDE DO SUL;São Vendelino;28861.83;1891;15262.73
MATO GROSSO DO SUL;Angélica;133023.97;7465;17819.69
PARANÁ;Santana do Itararé;45365.75;5697;7963.09
PERNAMBUCO;Tacaratu;70767.15;22231;3183.26
PARANÁ;Teixeira Soares;85131.56;10548;8070.87
SANTA CATARINA;São Joaquim;309743.09;25122;12329.55
SANTA CATARINA;Palma Sola;118605.62;8145;14561.77
MATO GROSSO;Mirassol D'Oeste;301727.31;25605;11783.92
RIO GRANDE DO SUL;Capão do Leão;318006.34;24458;13002.14
PARÁ;Rurópolis;107944.17;36068;2992.80
MINAS GERAIS;Machacalis;37748.46;7069;5340.00
PIAUÍ;Sussuapara;23830.78;5759;4138.01
GOIÁS;Hidrolândia;257722.52;14718;17510.70
MARANHÃO;Governador Edison Lobão;59880.09;14921;4013.14
MINAS GERAIS;Consolação;10992.84;1750;6281.62
MARANHÃO;Porto Franco;211566.14;19503;10847.88
BAHIA;Umburanas;48177.48;17096;2818.06
PARANÁ;Carambeí;859779375.00;17537;49026.60
MATO GROSSO;Canabrava do Norte;61282.00;5563;11016.00
MINAS GERAIS;Muzambinho;217759.80;20426;10660.91
SÃO PAULO;Ribeirão Preto;14688064.00;563107;26083.97
PIAUÍ;União;192874375.00;43135;4471.41
MINAS GERAIS;Cascalho Rico;33284.22;2938;11328.87
PARANÁ;Jaguariaíva;527268.25;33244;15860.55
PERNAMBUCO;Água Preta;127078.73;30792;4127.00
MINAS GERAIS;Lontra;29653.39;8332;3558.98
SANTA CATARINA;Cunhataí;23290.72;1948;11956.22
MINAS GERAIS;Itapecerica;155813.70;21200;7349.70
MATO GROSSO;Araputanga;230694.58;16090;14337.76
PARANÁ;Ibema;59509.87;6144;9685.85
BAHIA;Brejões;92945.01;12446;7467.86
